ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
91942,Male,26,First-time,Business,Economy,975,12,0,2,2,4,2,3,5,3,4,3,3,5,2,3,1,Neutral or Dissatisfied
116157,Male,29,Returning,Personal,Economy,371,42,34,3,3,4,3,4,2,2,4,2,2,4,3,2,3,Neutral or Dissatisfied
11449,Male,18,First-time,Business,Economy,201,43,47,2,3,3,3,3,4,5,3,5,5,3,3,5,4,Neutral or Dissatisfied
6375,Female,46,Returning,Business,Business,2134,0,13,3,3,2,2,3,1,2,2,2,3,1,1,1,1,Neutral or Dissatisfied
45933,Male,45,Returning,Personal,Economy,809,0,0,5,1,3,1,3,2,1,5,1,1,1,1,1,4,Neutral or Dissatisfied
70619,Male,34,Returning,Business,Business,1217,33,39,1,1,2,3,1,4,3,4,2,4,4,4,4,4,Neutral or Dissatisfied
33199,Male,53,Returning,Business,Economy Plus,101,2,10,3,3,4,4,3,1,5,5,5,5,3,4,5,3,Satisfied
39166,Female,61,Returning,Business,Business,3382,0,0,1,1,2,4,1,3,3,3,4,5,3,1,3,1,Neutral or Dissatisfied
72137,Male,23,First-time,Business,Economy,731,0,0,1,1,3,1,3,4,2,4,2,2,3,1,2,4,Neutral or Dissatisfied
128342,Female,51,Returning,Business,Business,2318,0,0,1,1,5,5,1,4,5,4,3,5,4,1,4,4,Satisfied
63715,Male,21,Returning,Business,Business,1660,0,0,2,2,4,3,2,4,3,3,3,3,4,3,3,4,Neutral or Dissatisfied
27684,Female,29,First-time,Business,Economy,1107,0,,1,1,5,1,1,4,3,1,5,5,3,2,5,5,Neutral or Dissatisfied
53807,Male,27,First-time,Business,Economy,140,0,0,4,2,4,2,4,1,3,3,5,5,1,2,5,2,Neutral or Dissatisfied
39941,Male,49,Returning,Business,Economy,795,9,0,3,3,4,5,3,4,5,1,5,5,2,5,5,5,Satisfied
119343,Female,38,Returning,Personal,Economy,214,0,2,4,1,4,1,3,1,5,2,5,5,4,1,5,4,Neutral or Dissatisfied
12643,Male,51,Returning,Personal,Economy,844,2,0,5,2,3,2,2,5,2,4,2,2,4,2,2,4,Neutral or Dissatisfied
86990,Female,43,Returning,Personal,Economy,907,52,47,4,1,3,5,1,2,4,1,3,2,2,1,2,2,Neutral or Dissatisfied
51217,Female,32,Returning,Business,Economy Plus,266,8,7,3,3,2,5,3,4,5,4,5,5,1,5,5,3,Satisfied
81886,Female,22,First-time,Business,Economy,680,0,0,0,0,4,0,4,3,3,4,3,3,4,0,3,4,Satisfied
19018,Male,26,Returning,Business,Economy,871,21,26,5,5,1,5,5,3,3,1,5,5,1,5,5,3,Satisfied
2963,Male,62,Returning,Personal,Economy,737,0,0,4,3,1,3,3,5,3,2,3,3,5,3,3,5,Neutral or Dissatisfied
76767,Female,40,Returning,Business,Business,1742,0,0,2,2,4,5,2,5,4,5,4,2,5,2,5,5,Satisfied
126510,Male,34,Returning,Business,Economy Plus,1849,0,12,1,1,5,5,1,5,5,2,5,5,2,5,5,3,Satisfied
78643,Male,45,Returning,Business,Business,2172,0,0,2,2,4,5,2,5,5,5,4,3,5,2,5,5,Satisfied
14677,Male,66,Returning,Personal,Economy,416,28,22,3,4,4,4,2,4,1,2,4,4,4,4,4,3,Neutral or Dissatisfied
32347,Female,20,First-time,Business,Economy,101,4,9,4,0,1,0,4,5,1,5,2,2,5,0,2,3,Satisfied
64051,Male,47,Returning,Business,Business,1651,0,0,2,2,4,4,2,5,4,5,3,5,5,2,5,5,Satisfied
116355,Male,34,Returning,Personal,Economy,446,10,13,4,2,3,2,5,5,5,2,5,5,5,2,5,4,Neutral or Dissatisfied
44994,Female,16,Returning,Business,Economy,222,21,15,5,5,2,4,5,2,3,4,4,4,3,4,4,4,Neutral or Dissatisfied
52126,Female,30,Returning,Personal,Economy Plus,639,0,0,4,0,2,0,4,2,3,4,4,4,3,1,4,3,Neutral or Dissatisfied
61203,Female,28,Returning,Business,Business,3665,44,77,1,1,4,4,1,3,4,4,4,4,4,1,4,4,Satisfied
22359,Female,44,Returning,Business,Business,3220,0,0,3,4,4,4,3,4,4,3,1,4,4,2,4,2,Neutral or Dissatisfied
109775,Female,55,Returning,Business,Business,2872,6,0,1,1,1,3,1,2,3,2,4,5,2,2,2,2,Neutral or Dissatisfied
68762,Female,21,Returning,Business,Business,3340,0,0,4,4,3,4,4,5,4,4,4,4,5,4,4,4,Satisfied
24711,Female,38,Returning,Business,Economy Plus,397,0,0,5,5,1,4,5,1,4,2,4,4,5,4,4,2,Satisfied
2319,Female,27,Returning,Personal,Economy,690,0,0,5,4,5,4,4,4,5,2,2,2,5,4,2,4,Satisfied
104954,Male,66,Returning,Personal,Business,337,16,1,4,4,3,5,1,5,4,4,3,2,5,4,5,5,Satisfied
11959,Male,47,Returning,Business,Business,3178,0,0,2,2,3,5,2,5,5,5,4,5,5,2,5,5,Satisfied
1031,Female,19,First-time,Business,Economy,89,0,0,0,4,1,4,4,1,4,2,4,4,4,4,4,3,Neutral or Dissatisfied
27992,Male,39,Returning,Business,Economy,1016,3,0,0,0,2,0,3,2,1,1,1,1,3,1,1,3,Neutral or Dissatisfied
84960,Male,23,Returning,Personal,Economy Plus,547,0,0,3,2,2,2,2,1,5,5,5,5,1,3,5,5,Neutral or Dissatisfied
92086,Male,12,Returning,Business,Business,1532,0,0,2,2,5,5,2,5,5,3,5,5,4,2,5,5,Satisfied
13000,Male,58,Returning,Business,Economy,438,0,0,4,4,4,4,4,2,4,1,4,4,2,4,4,5,Satisfied
90525,Male,51,Returning,Business,Business,404,0,0,5,5,4,4,5,5,5,5,3,2,5,5,5,5,Satisfied
90050,Male,42,Returning,Business,Business,1548,0,0,1,1,5,4,1,5,5,5,4,3,5,1,5,5,Satisfied
75012,Male,57,Returning,Business,Business,2453,0,0,5,5,3,5,5,4,4,4,3,3,4,5,4,4,Satisfied
125199,Male,11,Returning,Business,Business,3230,0,0,2,2,4,3,2,4,2,5,2,2,5,2,2,4,Satisfied
105350,Female,11,Returning,Personal,Economy,528,25,13,4,4,4,4,1,4,4,4,4,4,5,4,4,4,Neutral or Dissatisfied
60502,Male,54,Returning,Business,Business,1667,3,0,1,1,2,3,1,2,4,2,2,2,2,2,2,2,Neutral or Dissatisfied
29169,Female,26,First-time,Business,Economy Plus,697,48,45,3,3,5,3,4,5,3,1,3,3,5,3,3,3,Neutral or Dissatisfied
29140,Male,34,Returning,Personal,Economy,1050,0,0,5,3,4,3,3,5,1,3,1,1,5,3,1,5,Neutral or Dissatisfied
115754,Male,43,Returning,Business,Economy,325,86,70,3,3,4,2,3,2,2,5,2,2,3,2,2,3,Neutral or Dissatisfied
115619,Female,53,Returning,Business,Business,2187,0,0,4,4,4,4,4,5,4,5,4,4,5,4,5,5,Satisfied
3188,Male,31,Returning,Business,Business,1900,0,0,3,3,3,2,3,4,2,4,2,2,4,2,2,4,Neutral or Dissatisfied
125898,Male,15,Returning,Personal,Economy,1013,21,17,3,4,4,4,4,1,1,1,3,3,4,4,3,4,Neutral or Dissatisfied
2256,Female,55,Returning,Business,Business,2829,0,0,1,1,4,5,1,5,4,5,5,2,5,1,5,5,Satisfied
84145,Female,31,Returning,Business,Business,1782,0,0,4,5,4,5,5,5,5,5,5,5,5,5,5,4,Satisfied
71493,Female,24,Returning,Personal,Business,1120,8,4,1,4,4,4,4,4,5,4,5,5,3,4,5,3,Satisfied
105563,Female,39,Returning,Business,Business,577,0,0,4,4,5,5,4,5,4,5,4,2,5,4,5,5,Satisfied
100673,Male,43,Returning,Business,Business,1962,0,0,3,3,4,3,3,3,4,3,3,3,3,3,3,3,Neutral or Dissatisfied
6873,Male,31,Returning,Personal,Economy,622,2,3,4,2,4,2,1,3,5,3,5,5,4,2,5,5,Neutral or Dissatisfied
36711,Male,25,First-time,Business,Business,1121,0,0,0,0,4,0,4,4,4,3,4,4,5,0,4,5,Satisfied
104219,Male,17,Returning,Business,Business,1961,14,3,3,5,3,1,3,4,1,3,1,1,4,1,1,4,Neutral or Dissatisfied
36230,Male,43,Returning,Personal,Economy,280,0,0,3,2,4,2,4,5,1,4,1,1,1,2,1,4,Neutral or Dissatisfied
25170,Female,25,Returning,Business,Business,2009,5,22,3,5,5,3,3,5,3,5,3,3,2,3,3,3,Satisfied
89469,Male,51,Returning,Business,Business,134,0,4,4,4,4,5,4,5,4,5,4,5,5,4,5,4,Satisfied
114793,Female,38,First-time,Business,Business,390,0,0,1,1,5,1,4,5,3,2,2,2,4,1,2,5,Neutral or Dissatisfied
21946,Female,28,First-time,Business,Economy,500,0,0,3,4,5,4,4,3,3,1,4,4,1,3,4,3,Neutral or Dissatisfied
120331,Female,52,Returning,Business,Economy Plus,268,0,8,1,1,1,4,1,1,3,1,3,2,1,1,1,1,Neutral or Dissatisfied
95410,Male,40,Returning,Personal,Economy,677,49,26,4,3,5,3,4,4,3,3,3,3,4,3,3,5,Neutral or Dissatisfied
94105,Male,52,Returning,Personal,Business,239,0,7,5,2,5,5,4,5,5,2,3,3,5,2,5,5,Neutral or Dissatisfied
93813,Male,48,Returning,Business,Business,391,3,0,4,4,5,5,4,5,4,5,4,4,5,4,5,5,Satisfied
96979,Female,32,Returning,Business,Business,2304,0,24,4,4,5,3,4,5,4,4,4,4,5,4,4,5,Satisfied
106142,Female,20,First-time,Business,Economy,302,0,0,4,2,1,2,3,2,2,1,2,2,4,2,2,3,Neutral or Dissatisfied
94136,Male,21,First-time,Business,Business,189,0,0,5,4,4,4,4,4,4,4,3,3,4,4,3,4,Satisfied
54650,Male,23,First-time,Business,Economy,964,20,1,2,2,5,2,3,1,5,3,5,5,2,2,5,4,Neutral or Dissatisfied
28784,Female,30,Returning,Business,Business,2612,0,6,5,5,2,1,5,2,1,5,1,1,4,1,1,4,Neutral or Dissatisfied
96556,Male,51,Returning,Personal,Economy Plus,436,0,0,3,5,4,5,3,1,3,2,3,3,3,4,3,3,Neutral or Dissatisfied
4193,Male,14,Returning,Business,Business,3946,0,0,3,3,4,4,3,3,4,3,4,4,5,3,4,4,Satisfied
30440,Male,27,First-time,Business,Economy,914,0,0,3,3,2,3,3,4,5,3,5,5,1,3,5,5,Neutral or Dissatisfied
31700,Male,32,Returning,Personal,Economy,846,8,2,5,0,3,0,4,4,1,5,5,5,5,0,5,5,Satisfied
87553,Female,59,First-time,Business,Business,432,5,0,4,4,3,4,3,4,1,4,1,1,4,4,1,5,Satisfied
85480,Female,51,Returning,Personal,Economy,227,37,18,5,5,4,4,2,4,5,5,5,4,4,5,4,4,Satisfied
84572,Female,14,First-time,Business,Economy,967,0,0,1,1,3,1,4,4,3,5,3,3,4,1,3,2,Neutral or Dissatisfied
107691,Female,34,Returning,Business,Business,251,37,24,3,2,5,5,3,5,4,5,3,2,5,3,5,5,Satisfied
35400,Female,19,First-time,Business,Economy,1028,19,4,4,4,4,4,4,2,1,3,1,1,4,4,1,3,Neutral or Dissatisfied
16084,Female,43,Returning,Business,Economy,303,0,11,2,2,4,5,2,3,3,4,3,5,3,4,3,3,Satisfied
86805,Male,22,First-time,Business,Business,484,7,1,0,5,3,5,1,5,3,5,3,3,4,5,3,5,Satisfied
9053,Male,40,Returning,Business,Business,1922,0,0,2,5,3,4,2,5,5,5,3,5,5,2,5,4,Satisfied
87714,Male,67,Returning,Personal,Economy,606,0,0,5,2,4,2,2,5,5,2,5,5,4,2,5,4,Neutral or Dissatisfied
129487,Female,9,Returning,Personal,Economy,2704,0,3,5,2,4,2,2,4,4,3,4,4,5,2,4,5,Neutral or Dissatisfied
28811,Female,49,First-time,Business,Economy,954,0,0,3,3,5,3,2,4,5,2,4,4,3,2,4,2,Neutral or Dissatisfied
87657,Male,41,First-time,Business,Business,591,0,0,3,3,5,3,3,3,3,2,1,1,5,3,1,4,Neutral or Dissatisfied
90743,Female,35,Returning,Business,Business,240,0,0,2,2,3,3,2,2,2,2,3,3,2,2,2,2,Neutral or Dissatisfied
39961,Female,51,Returning,Business,Economy Plus,1086,0,0,5,5,4,4,5,3,3,4,3,2,3,4,3,3,Satisfied
18155,Female,27,Returning,Business,Business,1669,0,0,4,4,4,4,4,3,5,4,5,5,5,4,5,5,Satisfied
59089,Female,60,Returning,Business,Economy,244,16,0,2,2,1,3,2,4,5,4,1,5,4,4,4,4,Satisfied
83045,Male,39,Returning,Business,Business,3633,0,0,4,3,5,5,4,4,5,4,4,4,4,4,4,4,Satisfied
63777,Female,28,Returning,Business,Business,1721,0,0,2,2,4,4,2,4,4,5,4,4,4,2,4,4,Satisfied
43686,Female,44,First-time,Business,Economy,196,0,0,5,2,1,2,5,3,4,4,4,4,5,2,4,1,Neutral or Dissatisfied
80550,Male,15,First-time,Business,Economy,870,0,0,0,0,5,0,5,4,5,4,5,5,5,1,5,5,Neutral or Dissatisfied
108116,Female,38,Returning,Business,Business,1166,1,0,5,3,3,5,3,5,5,5,4,2,5,3,5,5,Satisfied
71807,Male,29,Returning,Business,Economy,1846,0,12,3,3,4,2,3,3,2,5,2,2,3,2,2,3,Neutral or Dissatisfied
129357,Male,22,Returning,Business,Economy Plus,2475,0,0,1,5,2,1,5,1,3,3,1,1,3,1,1,3,Neutral or Dissatisfied
48439,Female,32,Returning,Business,Business,1857,0,0,5,5,4,4,5,4,3,1,3,3,1,5,3,5,Satisfied
22439,Female,46,Returning,Personal,Economy,143,0,4,2,2,1,4,4,1,3,2,4,1,1,2,1,1,Neutral or Dissatisfied
16309,Female,23,Returning,Business,Business,628,30,22,3,3,2,2,3,4,2,4,2,2,3,2,2,4,Neutral or Dissatisfied
28141,Female,25,First-time,Business,Economy,933,0,0,5,5,1,5,3,5,3,1,3,3,4,5,3,4,Satisfied
129457,Female,24,First-time,Business,Business,414,0,0,4,4,5,4,2,3,5,2,5,5,4,4,5,5,Satisfied
68252,Female,16,Returning,Personal,Economy,432,0,0,1,2,1,2,4,4,1,4,1,1,4,2,1,4,Neutral or Dissatisfied
85408,Male,58,Returning,Business,Business,3995,31,28,4,0,5,5,4,5,4,5,3,3,5,0,5,5,Satisfied
50114,Female,61,Returning,Business,Business,109,0,0,5,5,4,3,5,4,4,4,1,2,4,4,4,4,Neutral or Dissatisfied
68813,Female,49,Returning,Personal,Economy,926,0,0,4,2,5,5,5,1,5,2,5,3,1,3,1,1,Neutral or Dissatisfied
23388,Male,32,First-time,Business,Economy,300,69,61,5,3,2,3,3,2,1,4,1,1,1,3,1,1,Neutral or Dissatisfied
54703,Female,79,Returning,Business,Economy,564,2,20,5,5,3,1,5,5,1,5,2,3,5,5,5,5,Satisfied
41033,Male,26,Returning,Business,Business,1195,0,2,4,3,4,1,4,4,1,1,1,1,4,1,1,3,Neutral or Dissatisfied
28185,Female,59,Returning,Personal,Economy,873,0,0,1,4,3,4,3,3,3,4,4,3,3,4,3,3,Neutral or Dissatisfied
57534,Male,67,Returning,Business,Business,2232,0,2,4,4,2,3,4,3,3,3,2,4,3,3,3,3,Neutral or Dissatisfied
82354,Female,54,Returning,Business,Business,453,91,80,5,5,4,4,5,3,4,3,1,3,3,3,3,3,Neutral or Dissatisfied
81523,Female,47,Returning,Business,Business,1124,0,0,2,2,3,4,2,4,4,4,3,4,4,2,4,4,Satisfied
84954,Female,58,Returning,Business,Business,2475,0,1,1,1,3,4,1,5,4,5,4,5,5,1,5,5,Satisfied
115093,Female,43,Returning,Business,Business,337,0,8,2,2,4,4,2,4,5,4,3,3,4,2,4,4,Satisfied
59195,Male,41,Returning,Business,Business,1440,0,0,1,1,4,4,1,5,5,5,4,2,5,1,5,5,Satisfied
4904,Male,26,Returning,Business,Business,1020,0,0,3,3,4,4,3,3,4,4,4,4,5,3,4,5,Satisfied
115156,Female,80,Returning,Business,Business,337,6,4,1,4,5,5,1,5,4,5,4,5,5,1,5,5,Satisfied
36477,Male,49,Returning,Business,Business,3433,0,0,2,4,3,4,4,5,4,5,3,3,5,4,5,5,Satisfied
123062,Male,8,First-time,Business,Economy,600,0,0,5,2,3,2,1,3,1,5,1,1,5,2,1,4,Neutral or Dissatisfied
54569,Female,26,First-time,Business,Economy Plus,925,1,4,3,3,1,3,3,3,1,2,1,1,4,3,1,4,Neutral or Dissatisfied
9363,Male,52,Returning,Business,Business,384,15,12,5,4,3,4,4,3,3,3,4,4,3,3,3,3,Neutral or Dissatisfied
26537,Male,31,Returning,Personal,Economy,990,27,16,4,3,3,3,1,3,3,3,3,3,5,3,3,4,Neutral or Dissatisfied
122418,Male,54,Returning,Business,Business,1916,0,0,4,4,5,3,4,4,5,4,5,3,4,4,4,4,Satisfied
20751,Male,29,Returning,Personal,Economy,363,0,0,4,2,3,2,2,4,2,3,2,2,4,2,2,4,Neutral or Dissatisfied
55485,Male,44,Returning,Business,Economy,2434,17,11,3,3,1,4,3,4,4,4,4,4,4,4,4,3,Neutral or Dissatisfied
24957,Female,45,Returning,Business,Economy,226,0,0,1,1,4,5,1,5,4,5,3,5,5,5,5,5,Satisfied
48173,Female,49,Returning,Business,Economy,236,0,0,1,1,3,5,1,4,5,4,3,1,4,4,4,4,Satisfied
85755,Female,44,First-time,Business,Business,666,12,1,4,4,3,4,4,5,4,3,4,4,4,4,4,4,Satisfied
46415,Female,30,First-time,Business,Business,458,0,12,3,3,2,3,2,2,2,1,2,2,3,3,2,2,Neutral or Dissatisfied
113358,Male,41,Returning,Business,Business,1759,0,0,3,2,5,4,3,5,4,5,5,2,5,3,5,5,Satisfied
53160,Female,51,First-time,Business,Business,589,0,0,4,4,4,4,3,4,2,3,5,5,4,4,5,5,Satisfied
31942,Female,54,Returning,Business,Business,2301,0,0,3,3,2,4,3,3,4,3,4,5,3,2,3,2,Neutral or Dissatisfied
96770,Female,46,Returning,Business,Business,3678,10,0,5,5,4,4,5,4,5,4,5,4,4,5,4,4,Satisfied
98464,Female,41,Returning,Business,Business,210,138,161,1,1,5,4,1,3,5,4,5,5,3,1,3,4,Satisfied
38249,Male,25,First-time,Business,Business,1173,5,0,4,4,1,4,3,4,4,5,4,4,3,4,4,3,Neutral or Dissatisfied
81538,Female,38,Returning,Personal,Economy,1124,0,0,5,3,4,3,3,5,3,3,3,3,4,3,3,5,Neutral or Dissatisfied
80847,Male,13,First-time,Business,Economy,484,8,3,2,1,2,1,4,3,1,1,1,1,4,1,1,3,Neutral or Dissatisfied
48350,Male,24,First-time,Business,Economy,587,46,46,0,5,3,5,1,5,2,3,2,2,5,5,2,5,Satisfied
11647,Male,29,First-time,Business,Business,878,36,30,4,4,3,4,5,3,3,2,2,2,5,3,2,4,Neutral or Dissatisfied
127202,Female,49,Returning,Business,Economy Plus,370,0,0,3,2,5,5,3,2,3,2,1,4,2,2,2,2,Satisfied
63427,Female,13,Returning,Personal,Economy,337,1,10,5,2,5,2,4,4,1,4,3,3,4,2,3,5,Neutral or Dissatisfied
41724,Male,29,First-time,Business,Economy,695,0,34,5,5,2,5,3,1,2,4,2,2,1,5,2,3,Satisfied
8246,Male,52,Returning,Personal,Economy,335,8,9,5,3,4,3,1,3,3,2,3,3,4,3,3,4,Neutral or Dissatisfied
